Date,Open,High,Low,Close,Volume
07/18/2025,"30.28","30.53","30.02","30.16","231,682"
07/17/2025,"29.70","30.29","29.66","30.23","298,483"
07/16/2025,"29.82","29.93","29.70","29.77","153,706"
07/15/2025,"30.29","30.38","29.82","29.89","202,935"
07/14/2025,"30.42","30.47","30.06","30.21","351,553"
07/11/2025,"30.99","30.99","30.41","30.51","242,013"
07/10/2025,"31.08","31.28","31.01","31.10","183,242"
07/09/2025,"31.32","31.45","31.03","31.04","264,408"
07/08/2025,"31.20","31.53","31.05","31.41","261,282"
07/07/2025,"31.58","31.58","30.93","31.02","325,268"
07/03/2025,"31.75","31.97","31.61","31.82","389,928"
07/02/2025,"31.59","31.97","31.51","31.85","199,370"
07/01/2025,"31.70","31.92","31.46","31.51","226,332"
06/30/2025,"30.98","31.54","30.98","31.45","234,082"
06/27/2025,"31.17","31.34","30.85","31.05","207,257"
06/26/2025,"31.23","31.48","31.19","31.26","264,196"
06/25/2025,"31.01","31.09","30.84","30.86","83,342"
06/24/2025,"30.33","31.06","30.33","30.96","416,440"
06/23/2025,"30.00","30.10","29.64","30.03","1,154,031"
06/20/2025,"30.45","30.57","29.98","30.10","1,101,357"
06/18/2025,"30.39","30.57","30.33","30.34","509,340"
